EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,capacity_requirement,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,rs1_theoretical_m,rs2_theoretical_m,ra1_theoretical_m,ra2_theoretical_m,r1_bpsk_m,r2_bpsk_m,rs1_bpsk_m,rs2_bpsk_m,ra1_bpsk_m,ra2_bpsk_m,r1_qpsk_m,r2_qpsk_m,rs1_qpsk_m,rs2_qpsk_m,ra1_qpsk_m,ra2_qpsk_m,r1_16qam_m,r2_16qam_m,rs1_16qam_m,rs2_16qam_m,ra1_16qam_m,ra2_16qam_m,r1_64qam_m,r2_64qam_m,rs1_64qam_m,rs2_64qam_m,ra1_64qam_m,ra2_64qam_m
1,100,MINIMAL,50000,False,False,1,False,1531,3,1,40.0,40.0,40.0,40.0,nan,nan,160.0,10.0,160.0,160.0,10.0,10.0,230.0,60.0,230.0,210.0,60.0,60.0,460.0,290.0,460.0,440.0,290.0,290.0,880.0,700.0,880.0,870.0,700.0,700.0
1,100,MINIMAL,133898,False,False,1,False,1531,3,1,70.0,70.0,70.0,70.0,nan,nan,270.0,110.0,270.0,260.0,110.0,110.0,370.0,200.0,370.0,350.0,200.0,200.0,740.0,570.0,740.0,730.0,570.0,570.0,1420.0,1240.0,1420.0,1420.0,1240.0,1240.0
1,100,MINIMAL,217796,False,False,1,False,1531,3,1,90.0,90.0,90.0,90.0,nan,nan,350.0,180.0,350.0,340.0,180.0,180.0,460.0,290.0,460.0,450.0,290.0,290.0,940.0,760.0,940.0,930.0,760.0,760.0,1810.0,1620.0,1810.0,1800.0,1620.0,1620.0
1,100,MINIMAL,301694,False,False,1,False,1531,3,1,100.0,100.0,100.0,100.0,nan,nan,400.0,230.0,400.0,400.0,230.0,230.0,540.0,370.0,540.0,530.0,370.0,370.0,1100.0,920.0,1100.0,1100.0,920.0,920.0,2130.0,1930.0,2130.0,2110.0,1930.0,1930.0
1,100,MINIMAL,385593,False,False,1,False,1531,3,1,120.0,120.0,120.0,120.0,nan,nan,450.0,280.0,450.0,450.0,280.0,280.0,610.0,430.0,610.0,590.0,430.0,430.0,1240.0,1060.0,1240.0,1240.0,1060.0,1060.0,2410.0,2200.0,2410.0,2380.0,2200.0,2200.0
1,100,MINIMAL,469491,False,False,1,False,1531,3,2,130.0,70.0,130.0,70.0,nan,nan,500.0,330.0,500.0,500.0,330.0,330.0,670.0,490.0,670.0,660.0,490.0,490.0,1370.0,1190.0,1370.0,1360.0,1190.0,1190.0,2660.0,2440.0,2660.0,2620.0,2440.0,2440.0
1,100,MINIMAL,553389,False,False,1,False,1531,3,2,140.0,90.0,140.0,90.0,nan,nan,540.0,370.0,540.0,540.0,370.0,370.0,720.0,550.0,720.0,710.0,550.0,550.0,1490.0,1300.0,1490.0,1480.0,1300.0,1300.0,2890.0,2670.0,2890.0,2840.0,2670.0,2670.0
1,100,MINIMAL,637288,False,False,1,False,1531,3,2,150.0,100.0,150.0,100.0,nan,nan,580.0,400.0,580.0,580.0,400.0,400.0,770.0,600.0,770.0,770.0,600.0,600.0,1590.0,1400.0,1590.0,1580.0,1400.0,1400.0,3110.0,2870.0,3110.0,3050.0,2870.0,2870.0
1,100,MINIMAL,721186,False,False,1,False,1531,3,2,160.0,110.0,160.0,110.0,nan,nan,610.0,440.0,610.0,610.0,440.0,440.0,820.0,650.0,820.0,820.0,650.0,650.0,1700.0,1500.0,1700.0,1680.0,1500.0,1500.0,3300.0,3060.0,3300.0,3240.0,3060.0,3060.0
1,100,MINIMAL,805084,False,False,1,False,1531,3,2,170.0,120.0,170.0,120.0,nan,nan,650.0,470.0,650.0,650.0,470.0,470.0,870.0,690.0,870.0,860.0,690.0,690.0,1790.0,1600.0,1790.0,1770.0,1600.0,1600.0,3490.0,3240.0,3490.0,3420.0,3240.0,3240.0
1,100,MINIMAL,888983,False,False,1,False,1531,3,2,180.0,130.0,180.0,130.0,nan,nan,680.0,500.0,680.0,680.0,500.0,500.0,910.0,730.0,910.0,910.0,730.0,730.0,1880.0,1680.0,1880.0,1860.0,1680.0,1680.0,3670.0,3420.0,3670.0,3590.0,3420.0,3420.0
