Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,MINIMAL
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v3.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
7,70.0,0.0,13,R1,S1,True,4558539.228259233,500000.0,2,True
7,70.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
7,70.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
7,70.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
7,70.0,0.0,13,R3,A1,True,4653700.100752263,500000.0,2,True
7,70.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
7,70.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
7,70.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
8,80.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
8,80.0,0.0,13,M1,R2,True,4589112.431451188,1000000.0,2,True
8,80.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
8,80.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
8,80.0,0.0,13,R1,S1,True,4557069.052940843,500000.0,2,True
8,80.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
8,80.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
8,80.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
8,80.0,0.0,13,R3,A1,True,4652329.461097654,500000.0,2,True
8,80.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
8,80.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
8,80.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
9,90.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
9,90.0,0.0,13,M1,R2,True,4587674.437150111,1000000.0,2,True
9,90.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
9,90.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
9,90.0,0.0,13,R1,S1,True,4555597.291267843,500000.0,2,True
9,90.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
9,90.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
9,90.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
9,90.0,0.0,13,R3,A1,True,4650957.430770814,500000.0,2,True
9,90.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
9,90.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
9,90.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
10,100.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
10,100.0,0.0,13,M1,R2,True,4586234.920214299,1000000.0,2,True
