EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,capacity_requirement,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,rs1_theoretical_m,rs2_theoretical_m,ra1_theoretical_m,ra2_theoretical_m,r1_bpsk_m,r2_bpsk_m,rs1_bpsk_m,rs2_bpsk_m,ra1_bpsk_m,ra2_bpsk_m,r1_qpsk_m,r2_qpsk_m,rs1_qpsk_m,rs2_qpsk_m,ra1_qpsk_m,ra2_qpsk_m,r1_16qam_m,r2_16qam_m,rs1_16qam_m,rs2_16qam_m,ra1_16qam_m,ra2_16qam_m,r1_64qam_m,r2_64qam_m,rs1_64qam_m,rs2_64qam_m,ra1_64qam_m,ra2_64qam_m
1,100,MINIMAL,100000,False,False,1,False,1531,3,1,59.999999999999986,59.999999999999986,60.0,59.999999999999986,59.999999999999986,59.999999999999986,240.00000000000003,70.0,240.0,240.00000000000003,70.0,240.00000000000003,320.00000000000006,150.00000000000003,320.0,320.00000000000006,150.0,320.00000000000006,640.0000000000001,470.0000000000001,640.0,640.0000000000001,470.0,640.0000000000001,1230.0000000000002,1050.0000000000002,1230.0,1230.0000000000002,1050.0,1230.0000000000002
1,100,CROSS_ROW,100000,False,False,1,False,1531,3,1,59.999999999999986,59.999999999999986,59.999999999999986,59.999999999999986,59.999999999999986,59.999999999999986,230.00000000000003,60.00000000000001,230.0,230.00000000000003,60.0,230.00000000000003,310.00000000000006,140.0,310.0,310.00000000000006,140.0,310.00000000000006,630.0000000000001,450.0000000000001,630.0,630.0000000000001,450.0,630.0000000000001,1230.0,1020.0000000000001,1200.0,1230.0,1020.0,1230.0
1,100,ALL_CONNECT,100000,False,False,1,False,1531,4,1,59.999999999999986,59.999999999999986,59.999999999999986,59.999999999999986,59.999999999999986,59.999999999999986,230.00000000000003,70.0,230.0,230.00000000000003,70.0,230.00000000000003,310.00000000000006,150.00000000000003,310.0,310.00000000000006,150.0,310.00000000000006,640.0000000000001,460.00000000000006,640.0,640.0000000000001,460.0,640.0000000000001,1230.0,1040.0000000000002,1210.0,1230.0,1040.0,1230.0
