EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,40,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,10.0,10.0,60.0,0.0,80.0,20.0,180.0,110.0,340.0,270.0
1,40,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,30.0,30.0,140.0,70.0,190.0,120.0,400.0,320.0,770.0,670.0
1,40,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,170.0,30.0,650.0,530.0,860.0,740.0,1790.0,1620.0,3480.0,3220.0
1,40,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,10.0,10.0,60.0,0.0,90.0,20.0,180.0,110.0,340.0,270.0
1,40,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,30.0,5.5901699437494745,140.0,70.0,190.0,120.0,400.0,320.0,770.0,690.0
1,40,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,170.0,50.0,650.0,540.0,860.0,760.0,1790.0,1650.0,3480.0,3270.0
1,50,MINIMAL,SMALL,False,False,1,False,1531,3,1,20.0,20.0,80.00000000000001,0.0,110.00000000000001,30.000000000000004,230.00000000000003,140.0,440.00000000000006,350.00000000000006
1,50,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,40.0,40.0,180.00000000000003,100.00000000000003,240.00000000000003,160.00000000000003,500.0000000000001,410.00000000000006,969.9999999999999,870.0000000000001
1,50,MINIMAL,LARGE,False,False,1,False,1531,3,3,219.99999999999997,80.00000000000001,810.0,690.0000000000001,1080.0,960.0000000000001,2240.0,2090.0,4349.999999999999,4150.000000000001
1,50,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,20.0,20.0,80.0,0.0,110.00000000000001,30.000000000000004,220.00000000000003,140.0,430.0,340.00000000000006
