EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,40,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,90.0,nan,530.0,140.0,460.0,210.0,990.0,500.0,1950.0,1030.0
1,40,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,190.0,50.0,1460.0,760.0,2000.0,1060.0,4240.0,2290.0,8310.0,4540.0
1,50,MINIMAL,SMALL,False,False,1,False,1531,3,1,20.0,nan,110.0,30.0,150.0,70.0,310.0,220.0,600.0,510.0
1,50,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,110.0,0.0,660.0,180.0,360.0,270.0,740.0,640.0,1430.0,1300.0
1,50,MINIMAL,LARGE,False,False,1,False,1531,3,3,220.0,80.0,1080.0,960.0,1460.0,1340.0,3060.0,2900.0,5970.0,5740.0
1,50,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,20.0,nan,110.0,30.0,150.0,60.0,300.0,220.0,590.0,490.0
1,50,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,110.0,nan,660.0,170.0,360.0,250.0,740.0,610.0,1430.0,1260.0
1,50,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,220.0,30.0,1080.0,930.0,1460.0,1310.0,3060.0,2830.0,5970.0,5600.0
1,50,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,20.0,nan,150.0,30.0,220.0,70.0,500.0,220.0,1010.0,500.0
1,50,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,110.0,nan,660.0,180.0,580.0,260.0,1240.0,620.0,2440.0,1280.0
1,50,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,240.0,60.0,1820.0,950.0,2510.0,1330.0,5300.0,2870.0,9990.0,5680.0
1,60,MINIMAL,SMALL,False,False,1,False,1531,3,1,20.0,nan,130.0,40.0,180.0,80.0,370.0,270.0,720.0,610.0
1,60,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,130.0,0.0,800.0,220.0,430.0,320.0,880.0,760.0,1720.0,1570.0
1,60,MINIMAL,LARGE,False,False,1,False,1531,3,3,260.0,100.0,1290.0,1160.0,1750.0,1610.0,3670.0,3480.0,7170.0,6890.0
1,60,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,20.0,nan,130.0,30.0,180.0,80.0,370.0,260.0,710.0,590.0
1,60,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,130.0,nan,800.0,200.0,430.0,310.0,880.0,730.0,1720.0,1510.0
1,60,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,260.0,40.0,1290.0,1120.0,1750.0,1570.0,3670.0,3400.0,7170.0,6720.0
1,60,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,20.0,nan,180.0,30.0,270.0,80.0,600.0,270.0,1210.0,600.0
1,60,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,130.0,nan,800.0,210.0,700.0,320.0,1490.0,750.0,2920.0,1540.0
1,60,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,290.0,70.0,2190.0,1140.0,3010.0,1590.0,6370.0,3450.0,9990.0,6820.0
1,70,MINIMAL,SMALL,False,False,1,False,1531,3,1,30.0,nan,160.0,40.0,210.0,100.0,440.0,320.0,840.0,710.0
1,70,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,160.0,0.0,930.0,260.0,510.0,380.0,1030.0,890.0,2000.0,1830.0
1,70,MINIMAL,LARGE,False,False,1,False,1531,3,3,310.0,110.0,1510.0,1350.0,2040.0,1880.0,4280.0,4070.0,8370.0,8050.0
1,70,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,30.0,nan,150.0,40.0,210.0,90.0,430.0,310.0,830.0,690.0
1,70,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,160.0,nan,930.0,240.0,510.0,360.0,1030.0,860.0,2000.0,1770.0
1,70,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,310.0,50.0,1510.0,1300.0,2040.0,1830.0,4280.0,3970.0,8370.0,7850.0
1,70,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,30.0,nan,220.0,40.0,310.0,90.0,710.0,310.0,1410.0,700.0
1,70,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,160.0,nan,930.0,250.0,820.0,370.0,1740.0,880.0,3410.0,1800.0
1,70,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,340.0,80.0,2560.0,1330.0,3510.0,1860.0,7430.0,4020.0,9990.0,7960.0
1,80,MINIMAL,SMALL,False,False,1,False,1531,3,1,30.0,nan,180.0,50.0,250.0,110.0,500.0,360.0,960.0,810.0
1,80,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,180.0,0.0,1070.0,300.0,580.0,430.0,1180.0,1020.0,2290.0,2090.0
1,80,MINIMAL,LARGE,False,False,1,False,1531,3,3,350.0,130.0,1720.0,1540.0,2340.0,2150.0,4900.0,4650.0,9580.0,9210.0
1,80,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,30.0,nan,170.0,40.0,240.0,110.0,490.0,350.0,950.0,790.0
1,80,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,180.0,nan,1070.0,270.0,580.0,410.0,1180.0,980.0,2290.0,2020.0
1,80,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,350.0,60.0,1720.0,1490.0,2340.0,2090.0,4900.0,4540.0,9580.0,8990.0
1,80,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,30.0,nan,250.0,50.0,360.0,110.0,810.0,360.0,1620.0,810.0
1,80,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,180.0,nan,1070.0,290.0,930.0,420.0,1990.0,1000.0,3900.0,2060.0
1,80,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,390.0,100.0,2920.0,1520.0,4020.0,2130.0,8500.0,4600.0,9990.0,9110.0
1,90,MINIMAL,SMALL,False,False,1,False,1531,3,1,30.0,nan,200.0,60.0,280.0,130.0,560.0,410.0,1080.0,920.0
1,90,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,200.0,0.0,1200.0,340.0,650.0,490.0,1330.0,1150.0,2580.0,2350.0
1,90,MINIMAL,LARGE,False,False,1,False,1531,3,3,390.0,150.0,1940.0,1740.0,2630.0,2420.0,5510.0,5230.0,9990.0,9990.0
1,90,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,30.0,nan,200.0,50.0,270.0,120.0,550.0,390.0,1070.0,890.0
1,90,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,200.0,nan,1200.0,310.0,650.0,460.0,1330.0,1100.0,2580.0,2270.0
1,90,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,390.0,60.0,1940.0,1680.0,2630.0,2360.0,5510.0,5100.0,9990.0,9990.0
1,90,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,30.0,nan,280.0,50.0,400.0,120.0,910.0,400.0,1820.0,910.0
1,90,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,200.0,nan,1200.0,320.0,1050.0,480.0,2230.0,1130.0,4390.0,2320.0
1,90,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,440.0,110.0,3290.0,1710.0,4520.0,2390.0,9580.0,5180.0,9990.0,9990.0
1,100,MINIMAL,SMALL,False,False,1,False,1531,3,1,40.0,nan,230.0,60.0,310.0,140.0,630.0,450.0,1200.0,1020.0
1,100,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,220.0,0.0,1330.0,380.0,720.0,540.0,1480.0,1280.0,2860.0,2610.0
1,100,MINIMAL,LARGE,False,False,1,False,1531,3,3,440.0,160.0,2160.0,1930.0,2920.0,2690.0,6130.0,5820.0,9990.0,9990.0
1,100,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,40.0,nan,220.0,60.0,300.0,130.0,610.0,440.0,1190.0,990.0
1,100,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,220.0,nan,1330.0,340.0,720.0,510.0,1480.0,1230.0,2860.0,2530.0
1,100,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,440.0,70.0,2160.0,1860.0,2920.0,2620.0,6130.0,5670.0,9990.0,9990.0
1,100,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,40.0,nan,310.0,60.0,450.0,140.0,1010.0,450.0,2020.0,1010.0
1,100,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,220.0,nan,1330.0,360.0,1170.0,530.0,2480.0,1250.0,4880.0,2580.0
1,100,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,490.0,120.0,3650.0,1900.0,5020.0,2660.0,9990.0,5760.0,9990.0,9990.0
1,110,MINIMAL,SMALL,False,False,1,False,1531,3,1,40.0,nan,250.0,70.0,340.0,150.0,690.0,500.0,1320.0,1120.0
1,110,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,250.0,0.0,1470.0,410.0,800.0,600.0,1630.0,1400.0,3150.0,2880.0
1,110,MINIMAL,LARGE,False,False,1,False,1531,3,3,480.0,180.0,2370.0,2120.0,3220.0,2970.0,6740.0,6400.0,9990.0,9990.0
1,110,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,40.0,nan,240.0,60.0,330.0,150.0,670.0,480.0,1310.0,1090.0
1,110,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,250.0,nan,1470.0,380.0,800.0,570.0,1630.0,1350.0,3150.0,2780.0
1,110,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,480.0,80.0,2370.0,2050.0,3220.0,2880.0,6740.0,6240.0,9990.0,9990.0
1,110,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,40.0,nan,340.0,70.0,490.0,150.0,1110.0,490.0,2230.0,1110.0
1,110,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,250.0,nan,1470.0,400.0,1290.0,580.0,2730.0,1380.0,5370.0,2830.0
1,110,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,540.0,130.0,4020.0,2090.0,5530.0,2930.0,9990.0,6330.0,9990.0,9990.0
1,120,MINIMAL,SMALL,False,False,1,False,1531,3,1,50.0,nan,270.0,80.0,370.0,170.0,750.0,550.0,1440.0,1220.0
1,120,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,270.0,0.0,1600.0,450.0,870.0,650.0,1770.0,1530.0,3440.0,3140.0
1,120,MINIMAL,LARGE,False,False,1,False,1531,3,3,530.0,200.0,2590.0,2320.0,3510.0,3240.0,7360.0,6990.0,9990.0,9990.0
1,120,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,50.0,nan,260.0,70.0,360.0,160.0,740.0,530.0,1430.0,1190.0
1,120,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,270.0,nan,1600.0,410.0,870.0,620.0,1770.0,1480.0,3440.0,3030.0
1,120,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,530.0,90.0,2590.0,2240.0,3510.0,3150.0,7360.0,6820.0,9990.0,9990.0
1,120,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,50.0,nan,370.0,70.0,540.0,170.0,1210.0,540.0,2430.0,1210.0
1,120,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,270.0,nan,1600.0,430.0,1400.0,640.0,2980.0,1510.0,5860.0,3090.0
1,120,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,590.0,150.0,4390.0,2280.0,6040.0,3200.0,9990.0,6910.0,9990.0,9990.0
1,130,MINIMAL,SMALL,False,False,1,False,1531,3,1,50.0,nan,300.0,80.0,400.0,180.0,820.0,590.0,1560.0,1330.0
1,130,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,290.0,0.0,1740.0,490.0,940.0,710.0,1920.0,1660.0,3730.0,3400.0
1,130,MINIMAL,LARGE,False,False,1,False,1531,3,3,570.0,220.0,2810.0,2510.0,3800.0,3510.0,7980.0,7580.0,9990.0,9990.0
1,130,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,50.0,nan,290.0,70.0,390.0,170.0,800.0,570.0,1540.0,1290.0
1,130,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,290.0,nan,1740.0,450.0,940.0,670.0,1920.0,1600.0,3730.0,3290.0
1,130,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,570.0,90.0,2810.0,2430.0,3800.0,3410.0,7980.0,7390.0,9990.0,9990.0
1,130,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,50.0,nan,400.0,80.0,590.0,180.0,1320.0,580.0,2630.0,1310.0
1,130,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,290.0,nan,1740.0,470.0,1520.0,690.0,3230.0,1630.0,6360.0,3350.0
1,130,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,640.0,160.0,4760.0,2470.0,6540.0,3460.0,9990.0,7500.0,9990.0,9990.0
1,140,MINIMAL,SMALL,False,False,1,False,1531,3,1,60.0,nan,320.0,90.0,430.0,200.0,880.0,640.0,1680.0,1430.0
1,140,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,320.0,0.0,1870.0,530.0,1020.0,760.0,2070.0,1790.0,4010.0,3670.0
1,140,MINIMAL,LARGE,False,False,1,False,1531,3,3,620.0,230.0,3020.0,2710.0,4100.0,3780.0,8600.0,8170.0,9990.0,9990.0
1,140,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,60.0,nan,310.0,80.0,420.0,190.0,860.0,620.0,1660.0,1390.0
1,140,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,320.0,nan,1870.0,480.0,1020.0,720.0,2070.0,1720.0,4010.0,3540.0
1,140,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,620.0,100.0,3020.0,2610.0,4100.0,3670.0,8600.0,7960.0,9990.0,9990.0
1,140,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,60.0,nan,440.0,90.0,630.0,190.0,1420.0,630.0,2830.0,1410.0
1,140,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,320.0,nan,1870.0,500.0,1640.0,740.0,3480.0,1760.0,6850.0,3610.0
1,140,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,690.0,170.0,5120.0,2660.0,7050.0,3730.0,9990.0,8080.0,9990.0,9990.0
1,150,MINIMAL,SMALL,False,False,1,False,1531,3,1,60.0,nan,340.0,100.0,460.0,210.0,940.0,680.0,1800.0,1530.0
1,150,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,340.0,0.0,2000.0,560.0,1090.0,820.0,2220.0,1920.0,4300.0,3930.0
1,150,MINIMAL,LARGE,False,False,1,False,1531,3,3,660.0,250.0,3240.0,2900.0,4390.0,4050.0,9220.0,8750.0,9990.0,9990.0
1,150,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,60.0,nan,330.0,90.0,450.0,200.0,920.0,660.0,1780.0,1490.0
1,150,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,340.0,nan,2000.0,510.0,1090.0,770.0,2220.0,1840.0,4300.0,3790.0
1,150,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,660.0,110.0,3240.0,2800.0,4390.0,3930.0,9220.0,8540.0,9990.0,9990.0
1,150,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,60.0,nan,470.0,90.0,680.0,210.0,1520.0,670.0,3040.0,1510.0
1,150,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,340.0,nan,2000.0,540.0,1760.0,800.0,3730.0,1890.0,7340.0,3870.0
1,150,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,740.0,180.0,5490.0,2850.0,7550.0,4000.0,9990.0,8660.0,9990.0,9990.0
1,160,MINIMAL,SMALL,False,False,1,False,1531,3,1,70.0,nan,370.0,100.0,500.0,230.0,1010.0,730.0,1920.0,1630.0
1,160,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,360.0,0.0,2140.0,600.0,1160.0,870.0,2370.0,2050.0,4590.0,4190.0
1,160,MINIMAL,LARGE,False,False,1,False,1531,3,3,710.0,270.0,3450.0,3090.0,4680.0,4320.0,9840.0,9340.0,9990.0,9990.0
1,160,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,70.0,nan,350.0,90.0,480.0,220.0,980.0,710.0,1900.0,1590.0
1,160,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,360.0,nan,2140.0,550.0,1160.0,820.0,2370.0,1970.0,4590.0,4050.0
1,160,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,710.0,120.0,3450.0,2990.0,4680.0,4200.0,9840.0,9110.0,9990.0,9990.0
1,160,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,70.0,nan,500.0,100.0,720.0,220.0,1620.0,720.0,3240.0,1610.0
1,160,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,360.0,nan,2140.0,580.0,1870.0,850.0,3980.0,2010.0,7830.0,4130.0
1,160,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,790.0,200.0,5860.0,3050.0,8060.0,4270.0,9990.0,9240.0,9990.0,9990.0
1,170,MINIMAL,SMALL,False,False,1,False,1531,3,1,70.0,nan,390.0,110.0,530.0,240.0,1070.0,770.0,2040.0,1740.0
1,170,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,380.0,0.0,2270.0,640.0,1240.0,930.0,2520.0,2170.0,4880.0,4450.0
1,170,MINIMAL,LARGE,False,False,1,False,1531,3,3,750.0,280.0,3670.0,3290.0,4980.0,4590.0,9990.0,9940.0,9990.0,9990.0
1,170,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,70.0,nan,380.0,100.0,510.0,230.0,1050.0,750.0,2020.0,1690.0
1,170,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,380.0,nan,2270.0,580.0,1240.0,880.0,2520.0,2090.0,4880.0,4300.0
1,170,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,750.0,120.0,3670.0,3170.0,4980.0,4460.0,9990.0,9690.0,9990.0,9990.0
1,170,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,70.0,nan,530.0,110.0,770.0,240.0,1720.0,760.0,3440.0,1720.0
1,170,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,380.0,nan,2270.0,610.0,1990.0,900.0,4230.0,2140.0,8330.0,4390.0
1,170,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,840.0,210.0,6230.0,3240.0,8570.0,4530.0,9990.0,9830.0,9990.0,9990.0
1,180,MINIMAL,SMALL,False,False,1,False,1531,3,1,80.0,nan,410.0,120.0,560.0,260.0,1130.0,820.0,2160.0,1840.0
1,180,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,410.0,10.0,2410.0,680.0,1310.0,980.0,2660.0,2300.0,5170.0,4720.0
1,180,MINIMAL,LARGE,False,False,1,False,1531,3,3,790.0,300.0,3890.0,3480.0,5270.0,4860.0,9990.0,9990.0,9990.0,9990.0
1,180,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,80.0,nan,400.0,110.0,550.0,240.0,1110.0,790.0,2140.0,1790.0
1,180,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,410.0,nan,2410.0,620.0,1310.0,930.0,2660.0,2220.0,5170.0,4560.0
1,180,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,790.0,130.0,3890.0,3360.0,5270.0,4720.0,9990.0,9990.0,9990.0,9990.0
