EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,capacity_requirement,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,rs1_theoretical_m,rs2_theoretical_m,ra1_theoretical_m,ra2_theoretical_m,r1_bpsk_m,r2_bpsk_m,rs1_bpsk_m,rs2_bpsk_m,ra1_bpsk_m,ra2_bpsk_m,r1_qpsk_m,r2_qpsk_m,rs1_qpsk_m,rs2_qpsk_m,ra1_qpsk_m,ra2_qpsk_m,r1_16qam_m,r2_16qam_m,rs1_16qam_m,rs2_16qam_m,ra1_16qam_m,ra2_16qam_m,r1_64qam_m,r2_64qam_m,rs1_64qam_m,rs2_64qam_m,ra1_64qam_m,ra2_64qam_m
1,100,MINIMAL,1573076,False,False,1,False,1531,3,3,239.99999999999994,30.000000000000004,240.0,190.0,30.0,30.0,909.9999999999998,720.0000000000001,910.0,890.0,720.0,720.0,1209.9999999999998,1020.0000000000001,1210.0,1200.0,1020.0,1020.0,2510.0,2290.0,2510.0,2470.0,2290.0,2290.0,4889.999999999999,4590.000000000001,4890.0,4770.0,4590.0,4590.0
1,100,MINIMAL,1700000,False,False,1,False,1531,3,3,249.99999999999994,30.000000000000004,250.0,190.0,30.0,30.0,949.9999999999998,750.0000000000001,950.0,930.0,750.0,750.0,1249.9999999999998,1070.0,1250.0,1240.0,1070.0,1070.0,2610.0,2380.0000000000005,2610.0,2560.0,2380.0,2380.0,5079.999999999999,4780.0,5080.0,4960.0,4780.0,4780.0
1,100,MINIMAL,1826923,False,False,1,False,1531,3,3,259.99999999999994,40.00000000000001,260.0,200.0,40.0,40.0,979.9999999999999,780.0000000000001,980.0,960.0,780.0,780.0,1299.9999999999998,1110.0000000000002,1300.0,1290.0,1110.0,1110.0,2699.9999999999995,2480.0000000000005,2700.0,2650.0,2480.0,2480.0,5270.0,4960.000000000001,5270.0,5140.0,4960.0,4960.0
1,100,MINIMAL,1953846,False,False,1,False,1531,3,3,270.0,50.000000000000014,270.0,210.0,50.0,50.0,1019.9999999999999,810.0000000000001,1020.0,990.0,810.0,810.0,1349.9999999999998,1150.0000000000002,1350.0,1330.0,1150.0,1150.0,2799.9999999999995,2570.0000000000005,2800.0,2740.0,2570.0,2570.0,5449.999999999999,5140.000000000001,5450.0,5320.0,5140.0,5140.0
1,100,MINIMAL,2080769,False,False,1,False,1531,3,3,280.0,50.000000000000014,280.0,220.0,50.0,50.0,1049.9999999999998,850.0000000000002,1050.0,1020.0,850.0,850.0,1389.9999999999998,1200.0000000000002,1390.0,1370.0,1200.0,1200.0,2889.9999999999995,2650.0000000000005,2890.0,2830.0,2650.0,2650.0,5619.999999999999,5310.000000000001,5620.0,5480.0,5310.0,5310.0
1,100,MINIMAL,2207692,False,False,1,False,1531,3,3,289.99999999999994,60.00000000000001,290.0,220.0,60.0,60.0,1080.0,870.0000000000001,1080.0,1050.0,870.0,870.0,1429.9999999999998,1240.0000000000002,1430.0,1410.0,1240.0,1240.0,2969.9999999999995,2740.0,2970.0,2910.0,2740.0,2740.0,5789.999999999999,5470.000000000001,5790.0,5650.0,5470.0,5470.0
1,100,MINIMAL,2334615,False,False,1,False,1531,3,3,299.99999999999994,70.0,300.0,230.0,70.0,70.0,1109.9999999999998,900.0000000000002,1110.0,1080.0,900.0,900.0,1469.9999999999998,1270.0,1470.0,1450.0,1270.0,1270.0,3059.9999999999995,2820.0000000000005,3060.0,3000.0,2820.0,2820.0,5959.999999999999,5630.000000000001,5960.0,5810.0,5630.0,5630.0
1,100,MINIMAL,2461538,False,False,1,False,1531,3,3,309.99999999999994,70.0,310.0,240.0,70.0,70.0,1139.9999999999998,930.0000000000001,1140.0,1110.0,930.0,930.0,1509.9999999999998,1310.0000000000002,1510.0,1490.0,1310.0,1310.0,3139.9999999999995,2900.0000000000005,3140.0,3080.0,2900.0,2900.0,6119.999999999999,5790.000000000001,6120.0,5960.0,5790.0,5790.0
1,100,MINIMAL,2588461,False,False,1,False,1531,3,3,309.99999999999994,80.00000000000001,310.0,240.0,80.0,80.0,1169.9999999999998,960.0000000000001,1170.0,1140.0,960.0,960.0,1549.9999999999998,1350.0000000000002,1550.0,1530.0,1350.0,1350.0,3219.9999999999995,2970.0000000000005,3220.0,3150.0,2970.0,2970.0,6269.999999999999,5940.000000000001,6270.0,6120.0,5940.0,5940.0
1,100,MINIMAL,2715384,False,False,1,False,1531,3,3,320.0,80.00000000000001,320.0,250.0,80.0,80.0,1199.9999999999998,990.0000000000002,1200.0,1160.0,990.0,990.0,1589.9999999999998,1390.0000000000002,1590.0,1560.0,1390.0,1390.0,3299.999999999999,3050.0000000000005,3300.0,3230.0,3050.0,3050.0,6430.0,6090.000000000001,6430.0,6260.0,6090.0,6090.0
