Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,ALL_CONNECT
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v4.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
15,150.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
15,150.0,0.0,13,R2,M1,True,4609457.574129576,1000000.0,2,True
15,150.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
15,150.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
15,150.0,0.0,13,R3,A1,True,4658435.385077002,375000.0,2,True
15,150.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
15,150.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
15,150.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
15,150.0,0.0,13,R1,R3,True,4786793.083270983,500000.0,2,True
15,150.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
15,150.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
15,150.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
16,160.0,0.0,13,S1,R1,True,4591928.287995834,375000.0,2,True
16,160.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
16,160.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
16,160.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
16,160.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
16,160.0,0.0,13,R2,M1,True,4607995.570831723,1000000.0,2,True
16,160.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
16,160.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
16,160.0,0.0,13,R3,A1,True,4657022.995232553,375000.0,2,True
16,160.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
16,160.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
16,160.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
16,160.0,0.0,13,R1,R3,True,4785347.718614279,500000.0,2,True
16,160.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
16,160.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
16,160.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
17,170.0,0.0,13,S1,R1,True,4590448.789344648,375000.0,2,True
17,170.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
17,170.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
17,170.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
17,170.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
17,170.0,0.0,13,R2,M1,True,4606532.083958341,1000000.0,2,True
17,170.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
17,170.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
17,170.0,0.0,13,R3,A1,True,4655609.222000867,375000.0,2,True
17,170.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
17,170.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
17,170.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
17,170.0,0.0,13,R1,R3,True,4783900.904108058,500000.0,2,True
17,170.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
17,170.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
17,170.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
18,180.0,0.0,13,S1,R1,True,4588967.772324031,375000.0,2,True
18,180.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
18,180.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
18,180.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
18,180.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
18,180.0,0.0,13,R2,M1,True,4605067.11050664,1000000.0,2,True
18,180.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
18,180.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
18,180.0,0.0,13,R3,A1,True,4654194.062682483,375000.0,2,True
18,180.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
18,180.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
18,180.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
18,180.0,0.0,13,R1,R3,True,4782452.63685207,500000.0,2,True
18,180.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
18,180.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
18,180.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
19,190.0,0.0,13,S1,R1,True,4587485.233827515,375000.0,2,True
19,190.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
19,190.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
19,190.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
19,190.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
19,190.0,0.0,13,R2,M1,True,4603600.647464709,1000000.0,2,True
19,190.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
19,190.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
