Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,ALL_CONNECT
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v4.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
5,50.0,0.0,13,R1,R3,True,4801167.620018332,500000.0,2,True
5,50.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
5,50.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
5,50.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
6,60.0,0.0,13,S1,R1,True,4606640.440877328,375000.0,2,True
6,60.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
6,60.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
6,60.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
6,60.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
6,60.0,0.0,13,R2,M1,True,4622549.333906179,1000000.0,2,True
6,60.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
6,60.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
6,60.0,0.0,13,R3,A1,True,4671085.082793766,375000.0,2,True
6,60.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
6,60.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
6,60.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
6,60.0,0.0,13,R1,R3,True,4799736.596232448,500000.0,2,True
6,60.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
6,60.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
6,60.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
7,70.0,0.0,13,S1,R1,True,4605175.9571331795,375000.0,2,True
7,70.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
7,70.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
7,70.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
7,70.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
7,70.0,0.0,13,R2,M1,True,4621100.549148697,1000000.0,2,True
7,70.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
7,70.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
7,70.0,0.0,13,R3,A1,True,4669685.023246228,375000.0,2,True
7,70.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
7,70.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
7,70.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
7,70.0,0.0,13,R1,R3,True,4798304.151128573,500000.0,2,True
7,70.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
7,70.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
7,70.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
8,80.0,0.0,13,S1,R1,True,4603709.985568719,375000.0,2,True
8,80.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
8,80.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
8,80.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
8,80.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
8,80.0,0.0,13,R2,M1,True,4619650.30743656,1000000.0,2,True
8,80.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
8,80.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
8,80.0,0.0,13,R3,A1,True,4668283.604256371,375000.0,2,True
8,80.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
8,80.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
8,80.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
8,80.0,0.0,13,R1,R3,True,4796870.281891594,500000.0,2,True
8,80.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
8,80.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
8,80.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
9,90.0,0.0,13,S1,R1,True,4602242.523170647,375000.0,2,True
9,90.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
9,90.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
9,90.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
9,90.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
9,90.0,0.0,13,R2,M1,True,4618198.6058473885,1000000.0,2,True
9,90.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
9,90.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
9,90.0,0.0,13,R3,A1,True,4666880.8231944265,375000.0,2,True
9,90.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
9,90.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
9,90.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
9,90.0,0.0,13,R1,R3,True,4795434.985698014,500000.0,2,True
9,90.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
9,90.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
9,90.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
10,100.0,0.0,13,S1,R1,True,4600773.566916527,375000.0,2,True
10,100.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
10,100.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
10,100.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
10,100.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
10,100.0,0.0,13,R2,M1,True,4616745.441450027,1000000.0,2,True
10,100.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
10,100.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
10,100.0,0.0,13,R3,A1,True,4665476.6774229845,375000.0,2,True
10,100.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
10,100.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
10,100.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
10,100.0,0.0,13,R1,R3,True,4793998.259715965,500000.0,2,True
10,100.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
10,100.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
10,100.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
11,110.0,0.0,13,S1,R1,True,4599303.113774726,375000.0,2,True
11,110.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
11,110.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
11,110.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
11,110.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
11,110.0,0.0,13,R2,M1,True,4615290.811304481,1000000.0,2,True
11,110.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
11,110.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
11,110.0,0.0,13,R3,A1,True,4664071.164296999,375000.0,2,True
11,110.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
11,110.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
11,110.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
11,110.0,0.0,13,R1,R3,True,4792560.101105138,500000.0,2,True
11,110.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
11,110.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
11,110.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
12,120.0,0.0,13,S1,R1,True,4597831.160704394,375000.0,2,True
12,120.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
12,120.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
12,120.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
12,120.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
12,120.0,0.0,13,R2,M1,True,4613834.712461889,1000000.0,2,True
12,120.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
12,120.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
12,120.0,0.0,13,R3,A1,True,4662664.281163724,375000.0,2,True
12,120.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
12,120.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
12,120.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
12,120.0,0.0,13,R1,R3,True,4791120.507016755,500000.0,2,True
12,120.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
12,120.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
12,120.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
13,130.0,0.0,13,S1,R1,True,4596357.704655423,375000.0,2,True
13,130.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
13,130.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
13,130.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
13,130.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
13,130.0,0.0,13,R2,M1,True,4612377.141964494,1000000.0,2,True
13,130.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
13,130.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
13,130.0,0.0,13,R3,A1,True,4661256.025362723,375000.0,2,True
13,130.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
13,130.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
13,130.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
13,130.0,0.0,13,R1,R3,True,4789679.474593564,500000.0,2,True
13,130.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
13,130.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
13,130.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
14,140.0,0.0,13,S1,R1,True,4594882.742568392,375000.0,2,True
14,140.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
14,140.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
14,140.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
14,140.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
14,140.0,0.0,13,R2,M1,True,4610918.096845612,1000000.0,2,True
14,140.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
14,140.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
14,140.0,0.0,13,R3,A1,True,4659846.394225801,375000.0,2,True
14,140.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
14,140.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
14,140.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
14,140.0,0.0,13,R1,R3,True,4788237.000969758,500000.0,2,True
14,140.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
14,140.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
14,140.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
15,150.0,0.0,13,S1,R1,True,4593406.271374571,375000.0,2,True
15,150.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
15,150.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
15,150.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
