EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,capacity_requirement,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,rs1_theoretical_m,rs2_theoretical_m,ra1_theoretical_m,ra2_theoretical_m,r1_bpsk_m,r2_bpsk_m,rs1_bpsk_m,rs2_bpsk_m,ra1_bpsk_m,ra2_bpsk_m,r1_qpsk_m,r2_qpsk_m,rs1_qpsk_m,rs2_qpsk_m,ra1_qpsk_m,ra2_qpsk_m,r1_16qam_m,r2_16qam_m,rs1_16qam_m,rs2_16qam_m,ra1_16qam_m,ra2_16qam_m,r1_64qam_m,r2_64qam_m,rs1_64qam_m,rs2_64qam_m,ra1_64qam_m,ra2_64qam_m
1,100,MINIMAL,50000,False,False,1,False,1531,3,1,40.0,40.0,40.0,40.0,40.0,40.0,160.00000000000003,10.000000000000002,160.00000000000003,160.0,160.00000000000003,10.0,230.00000000000003,60.00000000000001,230.00000000000003,230.0,230.00000000000003,60.0,460.00000000000006,290.00000000000006,460.00000000000006,460.0,460.00000000000006,290.0,880.0000000000001,700.0000000000001,880.0000000000001,880.0,880.0000000000001,700.0
1,100,MINIMAL,176923,False,False,1,False,1531,3,1,80.0,80.0,80.0,80.0,80.0,80.0,310.00000000000006,140.0,310.00000000000006,310.0,310.00000000000006,140.0,420.0,250.00000000000006,420.0,420.0,420.0,250.0,850.0000000000002,670.0000000000001,850.0000000000002,850.0,850.0000000000002,670.0,1629.9999999999998,1450.0000000000002,1630.0,1629.9999999999998,1629.9999999999998,1450.0
1,100,MINIMAL,303846,False,False,1,False,1531,3,1,99.99999999999999,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,410.00000000000006,230.00000000000003,410.00000000000006,410.0,410.00000000000006,230.0,540.0,370.00000000000006,540.0,540.0,540.0,370.0,1100.0000000000002,930.0000000000001,1100.0000000000002,1100.0,1100.0000000000002,930.0,2140.0,1940.0000000000002,2140.0,2140.0,2140.0,1940.0
1,100,MINIMAL,430769,False,False,1,False,1531,3,2,129.99999999999997,50.000000000000014,130.0,129.99999999999997,129.99999999999997,129.99999999999997,480.00000000000006,310.00000000000006,480.00000000000006,480.0,480.00000000000006,310.0,640.0000000000001,470.0000000000001,640.0000000000001,640.0,640.0000000000001,470.0,1310.0000000000002,1130.0000000000002,1310.0000000000002,1310.0,1310.0000000000002,1130.0,2549.9999999999995,2330.0000000000005,2550.0,2549.9999999999995,2549.9999999999995,2330.0
1,100,MINIMAL,557692,False,False,1,False,1531,3,2,140.0,90.00000000000001,140.0,140.0,140.0,140.0,540.0,370.00000000000006,540.0,540.0,540.0,370.0,720.0000000000001,550.0000000000001,720.0000000000001,720.0,720.0000000000001,550.0,1489.9999999999998,1300.0000000000002,1490.0,1489.9999999999998,1489.9999999999998,1300.0,2899.9999999999995,2680.0000000000005,2900.0,2899.9999999999995,2899.9999999999995,2680.0
1,100,MINIMAL,684615,False,False,1,False,1531,3,2,160.0,110.00000000000001,160.0,160.0,160.0,160.0,600.0000000000001,420.0,600.0000000000001,600.0,600.0000000000001,420.0,800.0000000000002,630.0000000000001,800.0000000000002,800.0,800.0000000000002,630.0,1649.9999999999995,1460.0000000000002,1650.0,1649.9999999999995,1649.9999999999995,1460.0,3219.9999999999995,2980.0000000000005,3220.0,3219.9999999999995,3219.9999999999995,2980.0
1,100,MINIMAL,811538,False,False,1,False,1531,3,2,169.99999999999997,130.00000000000003,170.0,169.99999999999997,169.99999999999997,169.99999999999997,650.0000000000001,470.0000000000001,650.0000000000001,650.0,650.0000000000001,470.0,870.0000000000001,690.0000000000001,870.0000000000001,870.0,870.0000000000001,690.0,1799.9999999999995,1600.0000000000005,1800.0,1799.9999999999995,1799.9999999999995,1600.0,3509.9999999999995,3260.0,3510.0,3509.9999999999995,3509.9999999999995,3260.0
1,100,MINIMAL,938461,False,False,1,False,1531,3,2,189.99999999999997,140.0,190.0,189.99999999999997,189.99999999999997,189.99999999999997,700.0000000000001,520.0000000000001,700.0000000000001,700.0,700.0000000000001,520.0,930.0000000000001,760.0000000000001,930.0000000000001,930.0,930.0000000000001,760.0,1939.9999999999998,1730.0,1940.0,1939.9999999999998,1939.9999999999998,1730.0,3769.9999999999995,3510.000000000001,3770.0,3769.9999999999995,3769.9999999999995,3510.0
1,100,MINIMAL,1065384,False,False,1,False,1531,3,3,199.99999999999997,0.0,200.0,199.99999999999997,199.99999999999997,0.0,749.9999999999999,560.0,750.0,749.9999999999999,749.9999999999999,560.0,990.0000000000002,820.0000000000001,990.0000000000002,990.0,990.0000000000002,820.0,2060.0,1860.0000000000002,2060.0,2060.0,2060.0,1860.0,4019.9999999999995,3750.000000000001,4020.0,4019.9999999999995,4019.9999999999995,3750.0
1,100,MINIMAL,1192307,False,False,1,False,1531,3,3,209.99999999999997,0.0,210.0,209.99999999999997,209.99999999999997,0.0,789.9999999999999,610.0,790.0,789.9999999999999,789.9999999999999,610.0,1050.0000000000002,870.0000000000001,1050.0000000000002,1050.0,1050.0000000000002,870.0,2179.9999999999995,1970.0000000000002,2180.0,2179.9999999999995,2179.9999999999995,1970.0,4249.999999999999,3980.0000000000005,4250.0,4249.999999999999,4249.999999999999,3980.0
