Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,25.0
relay_connectivity_config,MINIMAL
ew_location,"(1050.0, 0.0)"
ew_strength_factor,100000.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(1000.0, 0.0)"
step_size_m,10.0
max_steps,200
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v3.csv
EW_JAMMER_ACTUAL_BW_AREA,4

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible,ew_effect
2,20.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
2,20.0,0.0,10,R2,S4,True,901586.3541281049,500000.0,4,True,0.09841364587189522
2,20.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
2,20.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
2,20.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
2,20.0,0.0,10,R4,A4,True,909767.264989733,500000.0,4,True,0.090232735010267
3,30.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
3,30.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
3,30.0,0.0,10,M1,R3,False,856906.949209787,1000000.0,4,True,0.14309305079021306
3,30.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
3,30.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
3,30.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
3,30.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
3,30.0,0.0,10,R2,S4,True,899605.0929444883,500000.0,4,True,0.1003949070555117
3,30.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
3,30.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
3,30.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
3,30.0,0.0,10,R4,A4,True,908028.896750578,500000.0,4,True,0.09197110324942204
4,40.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
4,40.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
4,40.0,0.0,10,M1,R3,False,823544.6261066558,1000000.0,4,True,0.1764553738933442
4,40.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
4,40.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
4,40.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
4,40.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
4,40.0,0.0,10,R2,S4,True,897563.4101724392,500000.0,4,True,0.10243658982756092
4,40.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
4,40.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
4,40.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
4,40.0,0.0,10,R4,A4,True,906239.8173346511,500000.0,4,True,0.09376018266534897
5,50.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
5,50.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
5,50.0,0.0,10,M1,R3,False,787627.7845508313,1000000.0,4,True,0.21237221544916868
5,50.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
5,50.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
5,50.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
5,50.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
5,50.0,0.0,10,R2,S4,True,895458.824421563,500000.0,4,True,0.10454117557843703
5,50.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
5,50.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
5,50.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
5,50.0,0.0,10,R4,A4,True,904398.0354493984,500000.0,4,True,0.09560196455060158
6,60.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
6,60.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
6,60.0,0.0,10,M1,R3,False,749883.1488813857,1000000.0,4,True,0.25011685111861426
6,60.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
6,60.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
6,60.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
6,60.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
6,60.0,0.0,10,R2,S4,True,893288.725635496,500000.0,4,True,0.10671127436450399
6,60.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
6,60.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
6,60.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
6,60.0,0.0,10,R4,A4,True,902501.4611185278,500000.0,4,True,0.09749853888147215
7,70.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
7,70.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
7,70.0,0.0,10,M1,R3,False,710687.9237467091,1000000.0,4,True,0.2893120762532909
7,70.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
7,70.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
7,70.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
7,70.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
7,70.0,0.0,10,R2,S4,True,891050.3670044515,500000.0,4,True,0.10894963299554848
7,70.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
7,70.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
7,70.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
7,70.0,0.0,10,R4,A4,True,900547.8997562281,500000.0,4,True,0.09945210024377193
8,80.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
8,80.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
8,80.0,0.0,10,M1,R3,False,670248.3512928785,1000000.0,4,True,0.3297516487071215
8,80.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
8,80.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
8,80.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
8,80.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
8,80.0,0.0,10,R2,S4,True,888740.8562786004,500000.0,4,True,0.11125914372139958
8,80.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
8,80.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
8,80.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
8,80.0,0.0,10,R4,A4,True,898535.04582217,500000.0,4,True,0.10146495417782998
9,90.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
9,90.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
9,90.0,0.0,10,M1,R3,False,628681.3376743416,1000000.0,4,True,0.37131866232565836
9,90.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
9,90.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
9,90.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
9,90.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
9,90.0,0.0,10,R2,S4,True,886357.1464310255,500000.0,4,True,0.11364285356897456
9,90.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
9,90.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
9,90.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
9,90.0,0.0,10,R4,A4,True,896460.4760230591,500000.0,4,True,0.1035395239769409
10,100.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
10,100.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
10,100.0,0.0,10,M1,R3,False,586054.0120795616,1000000.0,4,True,0.41394598792043835
10,100.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
10,100.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
10,100.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
10,100.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
10,100.0,0.0,10,R2,S4,True,883896.0256140077,500000.0,4,True,0.11610397438599226
10,100.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
10,100.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
10,100.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
10,100.0,0.0,10,R4,A4,True,894321.6420233317,500000.0,4,True,0.1056783579766682
11,110.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
11,110.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
11,110.0,0.0,10,M1,R3,False,542404.120697546,1000000.0,4,True,0.45759587930245393
11,110.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
11,110.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
11,110.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
11,110.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
11,110.0,0.0,10,R2,S4,True,881354.1063468722,500000.0,4,True,0.11864589365312787
11,110.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
11,110.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
11,110.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
11,110.0,0.0,10,R4,A4,True,892115.8626240833,500000.0,4,True,0.10788413737591668
12,120.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
12,120.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
12,120.0,0.0,10,M1,R3,False,497751.15276462334,1000000.0,4,True,0.5022488472353767
12,120.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
12,120.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
12,120.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
12,120.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
12,120.0,0.0,10,R2,S4,True,878727.8138674798,500000.0,4,True,0.12127218613252023
12,120.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
12,120.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
12,120.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
12,120.0,0.0,10,R4,A4,True,889840.3153654378,500000.0,4,True,0.11015968463456223
13,130.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
13,130.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
13,130.0,0.0,10,M1,R3,False,452102.719300996,1000000.0,4,True,0.547897280699004
13,130.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
13,130.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
13,130.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
13,130.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
13,130.0,0.0,10,R2,S4,True,876013.3735726313,500000.0,4,True,0.12398662642736873
13,130.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
13,130.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
13,130.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
13,130.0,0.0,10,R4,A4,True,887492.0275032836,500000.0,4,True,0.11250797249671635
14,140.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
14,140.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
14,140.0,0.0,10,M1,R3,False,405458.3703393978,1000000.0,4,True,0.5945416296606022
14,140.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
14,140.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
14,140.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
14,140.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
14,140.0,0.0,10,R2,S4,True,873206.7974650464,500000.0,4,True,0.12679320253495363
14,140.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
14,140.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
14,140.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
14,140.0,0.0,10,R4,A4,True,885067.8663065495,500000.0,4,True,0.11493213369345048
15,150.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
15,150.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
15,150.0,0.0,10,M1,R3,False,357811.9649570601,1000000.0,4,True,0.6421880350429399
15,150.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
15,150.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
15,150.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
15,150.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
15,150.0,0.0,10,R2,S4,True,870303.8695161256,500000.0,4,True,0.12969613048387443
15,150.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
15,150.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
15,150.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
15,150.0,0.0,10,R4,A4,True,882564.5286159301,500000.0,4,True,0.11743547138406982
16,160.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
16,160.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
16,160.0,0.0,10,M1,R3,False,309153.1898625475,1000000.0,4,True,0.6908468101374525
16,160.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
16,160.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
16,160.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
16,160.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
16,160.0,0.0,10,R2,S4,True,867300.1298442577,500000.0,4,True,0.13269987015574228
16,160.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
16,160.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
16,160.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
16,160.0,0.0,10,R4,A4,True,879978.5295991304,500000.0,4,True,0.1200214704008696
17,170.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
17,170.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
17,170.0,0.0,10,M1,R3,False,259468.55881223973,1000000.0,4,True,0.7405314411877603
17,170.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
17,170.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
17,170.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
17,170.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
17,170.0,0.0,10,R2,S4,True,864190.8575978938,500000.0,4,True,0.13580914240210623
17,170.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
17,170.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
17,170.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
17,170.0,0.0,10,R4,A4,True,877306.1906312021,500000.0,4,True,0.12269380936879787
18,180.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
18,180.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
18,180.0,0.0,10,M1,R3,False,208742.0852671419,1000000.0,4,True,0.7912579147328581
18,180.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
18,180.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
18,180.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
18,180.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
18,180.0,0.0,10,R2,S4,True,860971.0524208196,500000.0,4,True,0.13902894757918033
18,180.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
18,180.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
18,180.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
18,180.0,0.0,10,R4,A4,True,874543.6262213304,500000.0,4,True,0.1254563737786696
19,190.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
19,190.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
19,190.0,0.0,10,M1,R3,False,156955.74348715102,1000000.0,4,True,0.843044256512849
19,190.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
19,190.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
19,190.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
19,190.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
19,190.0,0.0,10,R2,S4,True,857635.4143638599,500000.0,4,True,0.14236458563614007
19,190.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
19,190.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
19,190.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
19,190.0,0.0,10,R4,A4,True,871686.7298993823,500000.0,4,True,0.12831327010061763
20,200.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
20,200.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
20,200.0,0.0,10,M1,R3,False,104089.78911161271,1000000.0,4,True,0.8959102108883873
20,200.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
20,200.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
20,200.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
20,200.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
20,200.0,0.0,10,R2,S4,True,854178.3220924467,500000.0,4,True,0.1458216779075533
20,200.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
20,200.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
20,200.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
20,200.0,0.0,10,R4,A4,True,868731.1589665706,500000.0,4,True,0.13126884103342937
21,210.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
21,210.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
21,210.0,0.0,10,M1,R3,False,50122.98422583594,1000000.0,4,True,0.9498770157741641
21,210.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
21,210.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
21,210.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
21,210.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
21,210.0,0.0,10,R2,S4,True,850593.8092228789,500000.0,4,True,0.14940619077712114
21,210.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
21,210.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
21,210.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
21,210.0,0.0,10,R4,A4,True,865672.3180045747,500000.0,4,True,0.1343276819954252
22,220.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
22,220.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
22,220.0,0.0,10,M1,R3,False,0.0,1000000.0,4,True,1.0
22,220.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
22,220.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
22,220.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
22,220.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
22,220.0,0.0,10,R2,S4,True,846875.5386014242,500000.0,4,True,0.15312446139857586
22,220.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
22,220.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
22,220.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
22,220.0,0.0,10,R4,A4,True,862505.3410262855,500000.0,4,True,0.13749465897371446
23,230.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
23,230.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
23,230.0,0.0,10,M1,R3,False,0.0,1000000.0,4,True,1.0
23,230.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
23,230.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
23,230.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
23,230.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
23,230.0,0.0,10,R2,S4,True,843016.7743194008,500000.0,4,True,0.15698322568059914
23,230.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
23,230.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
23,230.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
23,230.0,0.0,10,R4,A4,True,859225.0721388217,500000.0,4,True,0.14077492786117835
24,240.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
24,240.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
24,240.0,0.0,10,M1,R3,False,0.0,1000000.0,4,True,1.0
24,240.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
24,240.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
24,240.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
24,240.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
24,240.0,0.0,10,R2,S4,True,839010.3512336883,500000.0,4,True,0.16098964876631172
24,240.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
24,240.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
24,240.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
24,240.0,0.0,10,R4,A4,True,855826.0445754534,500000.0,4,True,0.14417395542454658
25,250.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
25,250.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
25,250.0,0.0,10,M1,R3,False,0.0,1000000.0,4,True,1.0
25,250.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
25,250.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
