Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,300.0
relay_connectivity_config,CROSS_ROW
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,2
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
FLIGHT_MARGIN_PAST_EW_M,0
logging_enabled,True
csv_output_enabled,True
csv_filename_prefix,swarm_log_detailed_
EW_JAMMER_ACTUAL_BW_AREA,2
All_Drones_Passed_EW_X,False

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,required_safety_capacity,bw_area,is_ew_susceptible,theoretical_cap,bpsk_cap,qpsk_cap,16qam_cap,64qam_cap
1,10.0,0.0,13,S1,R1,250000.0,2,True,4333541.229267039,500000.0,1000000.0,2000000.0,0.0
1,10.0,0.0,13,S2,R1,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,S3,R2,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,S4,R2,250000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,R1,M1,1000000.0,1,False,7563386.262757886,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,R2,M1,1000000.0,2,True,4352063.972654376,500000.0,1000000.0,2000000.0,0.0
1,10.0,0.0,13,M1,R3,1000000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,M1,R4,1000000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,R3,A1,250000.0,2,True,4408695.824686294,500000.0,1000000.0,2000000.0,0.0
1,10.0,0.0,13,R3,A2,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,R4,A3,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,R4,A4,250000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
1,10.0,0.0,13,R1,R3,500000.0,2,True,4531966.229329894,500000.0,1000000.0,2000000.0,2999999.6002863897
1,10.0,0.0,13,R2,R4,500000.0,4,False,6662495.620293607,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,S1,R1,250000.0,2,True,4332112.044223112,500000.0,1000000.0,2000000.0,0.0
2,20.0,0.0,13,S2,R1,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,S3,R2,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,S4,R2,250000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,R1,M1,1000000.0,1,False,7563386.262757886,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,R2,M1,1000000.0,2,True,4350653.647186625,500000.0,1000000.0,2000000.0,0.0
2,20.0,0.0,13,M1,R3,1000000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,M1,R4,1000000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,R3,A1,250000.0,2,True,4407344.378275261,500000.0,1000000.0,2000000.0,0.0
2,20.0,0.0,13,R3,A2,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,R4,A3,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,R4,A4,250000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
2,20.0,0.0,13,R1,R3,500000.0,2,True,4530575.675284054,500000.0,1000000.0,2000000.0,2999999.589986266
2,20.0,0.0,13,R2,R4,500000.0,4,False,6662495.620293607,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,S1,R1,250000.0,2,True,4330681.355034826,500000.0,1000000.0,2000000.0,0.0
3,30.0,0.0,13,S2,R1,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,S3,R2,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,S4,R2,250000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,R1,M1,1000000.0,1,False,7563386.262757886,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,R2,M1,1000000.0,2,True,4349241.853520972,500000.0,1000000.0,2000000.0,0.0
3,30.0,0.0,13,M1,R3,1000000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,M1,R4,1000000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,R3,A1,250000.0,2,True,4405991.578447923,500000.0,1000000.0,2000000.0,0.0
3,30.0,0.0,13,R3,A2,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,R4,A3,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,R4,A4,250000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
3,30.0,0.0,13,R1,R3,500000.0,2,True,4529183.691767907,500000.0,1000000.0,2000000.0,2999999.5794296726
3,30.0,0.0,13,R2,R4,500000.0,4,False,6662495.620293607,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,S1,R1,250000.0,2,True,4329249.158727557,500000.0,1000000.0,2000000.0,0.0
4,40.0,0.0,13,S2,R1,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,S3,R2,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,S4,R2,250000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R1,M1,1000000.0,1,False,7563386.262757886,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R2,M1,1000000.0,2,True,4347828.588787116,500000.0,1000000.0,2000000.0,0.0
4,40.0,0.0,13,M1,R3,1000000.0,4,False,6501549.146307063,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,M1,R4,1000000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R3,A1,250000.0,2,True,4404637.422674817,500000.0,1000000.0,2000000.0,0.0
4,40.0,0.0,13,R3,A2,250000.0,3,False,6776725.967414709,500000.0,1000000.0,2000000.0,3000000.0
4,40.0,0.0,13,R4,A3,250000.0,1,False,7563386.262757883,500000.0,1000000.0,2000000.0,3000000.0
